,LDL,MMAS-8,Tumor,WBC,RBC,Hb,Platelet,ALB,ALP,GGT,BUN,Cr,Free Ca,TG,LDL,HDL,HCY,GLU,HbA1C,TSH,Folic acid,Cobalamin,CYSC,CA
Propionibacterium_acidifaciens,-0.10356527726082446,0.22772053743888,-0.0587492269665742,-0.06264633734345823,-0.2333821400218303,-0.32548236454060203,-0.17950645055317715,-0.13831333506292662,0.07090877386236476,0.07472195926643589,0.09344553223343272,0.10981238212636434,0.03925120211922777,-0.09789387372303,0.0636942183821823,-0.13935676442219008,0.129826291205193,-0.38195918013651714,-0.39149585026774314,0.08017727957839599,0.09809097557725695,0.027204192276715704,-0.11594086583034743,0.15150566508383165
Bifidobacterium_dentium,0.024605132215107756,0.19623112207770016,0.07967517256323323,-0.27861507220764825,-0.3737863848674115,-0.35401092784759747,-0.36300679290208343,-0.33520418665318796,-0.20030966119286925,-0.2786881995575431,0.25294350389764286,0.03895433109253558,-0.16292910080090706,-0.40441588335040213,0.11863750947944816,0.15310093936046454,0.11918533644438288,-0.20611573832889446,-0.4966248555766885,-0.09017946309837487,0.1783910392885081,0.15054332882613056,-0.4877260618669273,0.379910980600582
Lactobacillus_mucosae,-0.031107423923769296,0.14443495211789903,0.3084874174454384,-0.18125861917709862,-0.20858275860201683,-0.15198318791728305,-0.3677183990665168,-0.23180447260415454,-0.23299729150263215,-0.14612262586767855,0.19178697163147354,0.2257534846511546,-0.37218422426509973,-0.34108366097196907,-0.11550463000258472,0.07296744684193981,0.0711519579664488,-0.1823024883173325,-0.3960906915762435,-0.2284038770626358,0.014707387959545282,-0.006559301172537867,-0.3173530224408056,0.08091288194673318
PWY-7384,0.1284664628876426,-0.09072468036423495,0.3310528241433902,0.04327099667539776,-0.28359167320968653,-0.1394751541905147,0.3676538142189671,-0.5160935372455902,-0.011004126593722605,-0.10247942352810731,-0.12296965003907448,0.015059700231729029,-0.33066887584315635,-0.002017053344842214,0.4146721704734468,0.11738811445341157,0.02823615884750532,-0.003484640088012158,0.07822259613288489,0.09774436254583518,-0.15768244551204266,0.19345375261895775,-0.16868580170762104,0.02659330593482963
P562-PWY,-0.060301047983066416,-0.10248978010852258,0.16645455276724103,-0.21787306611985338,-0.13436274243264376,-0.07565798123556089,-0.16533998406763623,-0.04285880692954459,-0.41959176312391416,-0.050610703283177134,-0.20656120825083618,0.04767528249275286,0.10150788296300889,-0.010611673794072008,0.1497025779779612,0.15396214367784664,0.08690669613315116,-0.01849802280213835,0.038052252040345375,-0.05346752421607658,0.17785556417947215,-0.022941428107184244,-0.17815264198282232,0.13110347308400785
PWY-7389,0.20233955352351135,-0.1445924396651312,0.22663456858428335,0.04788114287268603,-0.25080299969691805,-0.12568857877341166,0.4159252862369473,-0.4500413810123698,0.10936785446824564,-0.08177142965967008,-0.11918097561945964,0.03224918180960022,-0.23926466015602177,-0.000550408407018457,0.3974677395607719,0.01128647629304823,-0.01155751724513111,-0.059363256577982325,0.025812974708961472,0.19807344784404665,-0.13960747021499642,0.11338413184580214,-0.10679522677809446,0.06752914504079598
Lactobacillus_salivarius,0.18049458030196386,-0.13388464430100136,-0.11790217231119862,-0.2288092106590724,-0.1891285370761054,-0.21284274446588589,-0.2870173089190412,0.05819779647612005,-0.05408280076568732,-0.3797881544085386,0.25276783942148634,-0.08879056567804894,0.03014507022524302,-0.3857590998372643,0.06515409874851823,0.18499581832666442,-0.1144046053295362,0.006270469653992734,-0.32959276729836573,0.005094289506396754,0.061707963491102566,0.18161436543887455,-0.20484116020936638,0.22848023801736023
Eubacterium_sulci,0.03454182022505513,0.4251329683790849,-0.31257183082499185,-0.20702647726540532,-0.018582854970104354,0.02536949209411119,-0.14028780642537872,0.42306948731170263,-0.22643700830498265,-0.12616552010567494,0.13673668740561704,-0.024806738208181862,0.24361779834040387,0.08630118850443987,0.14670021563690328,-0.13064871563630032,-0.2016089619724788,-0.3059802650685279,-0.0893265932192171,0.11843311462705026,-0.04720977612407373,-0.019543542688225172,0.22604301596453702,-0.1747629217943584
Klebsiella_pneumoniae,0.25336519860803924,0.026541121326380365,0.01761220408466377,-0.1886699293071952,-0.18430638585370346,0.030979167454530263,0.07840343303403569,0.1284717308709812,-0.3494505233647901,-0.1732024901675094,-0.12819503193371434,-0.11064167646284631,0.12188099979284168,0.025578424961458446,0.029105428205979868,-0.03726578065408939,-0.03261876970340507,-0.3108904656141926,-0.16407594138912823,0.11159147395661075,0.000741335675077388,-0.18368274736815451,0.060856486484070445,-0.09176552205070085
CATECHOL-ORTHO-CLEAVAGE-PWY,0.17602133046192475,-0.08891399630496424,0.04290201599558712,-0.23604888062036863,-0.008710713267236417,0.17603716269883263,-0.13158028740587244,0.20611573832889446,-0.3493323076841826,-0.04302418657981542,-0.06662524145542813,0.1081418743762928,0.19920022205063276,0.020124043956192255,-0.10992839377541036,-0.18348886284920402,-0.013156822854250055,-0.3204954579085908,-0.22263829850082523,0.07818133710674559,-0.027474541842698645,-0.21672047337437814,0.11989770941049567,-0.09192955465373227
URSIN-PWY,0.12504249653868144,0.05129779563502651,0.03004873349097893,-0.15671070666460446,-0.12109839584701255,0.08602311919801567,0.07684461662564429,0.18939503726226437,-0.33400327212583697,-0.11440175638643298,-0.18820472174102784,-0.09102731114468672,0.07874014728334598,0.08652134612665134,0.10703286674941592,-0.07496783595631712,-0.014798347602710833,-0.2869391746899235,-0.10925069221457882,0.11726994211852552,-0.0182133508956441,-0.15027391695681552,0.02659039445526381,-0.09906233411914028
Megamonas_funiformis,-0.16266899001955948,0.29387775252829273,0.31083813559977863,0.47034946331664984,0.12104389925417586,0.1834907825888829,0.4857823728052857,-0.06614365698774988,0.28844434564978283,0.23723904603747517,-0.08639592860018608,0.3004581138610208,-0.00838402569796666,0.20218628142699335,-0.04941254645121955,-0.31055788873826873,-0.17350966451415534,-0.1812536974790785,-0.01675108982413124,0.050634851926503965,-0.45986751700281275,-0.23051243447854122,0.34382932644308706,-0.1915154452748171
