,r2,geo,model
0,0.026724893300524966,Country,Linear
1,0.026121979615923552,Country,Linear
2,0.025524306797887752,Country,Linear
3,0.02810137330446083,Country,Linear
4,0.029974404823086553,Country,Linear
5,0.026430950089384786,Country,Linear
6,0.02864272522735345,Country,Linear
7,0.024452126179371314,Country,Linear
8,0.024739668965455208,Country,Linear
9,0.029386070376473783,Country,Linear
10,0.02639277071466284,Country,Linear
11,0.02873349479303966,Country,Linear
12,0.0273929559853886,Country,Linear
13,0.027941827759913163,Country,Linear
14,0.02556869525136163,Country,Linear
15,0.028246030722721693,Country,Linear
16,0.028187246104418695,Country,Linear
17,0.025056296951847412,Country,Linear
18,0.026284609549260485,Country,Linear
19,0.027173630301229657,Country,Linear
20,0.026723917291866073,Country,Linear
21,0.026915294466859696,Country,Linear
22,0.03024865080052941,Country,Linear
23,0.024630660319036823,Country,Linear
24,0.02930630654959887,Country,Linear
25,0.028829003338381565,Country,Linear
26,0.024283393621731153,Country,Linear
27,0.02579552936314855,Country,Linear
28,0.02705885218862436,Country,Linear
29,0.028370233022544822,Country,Linear
30,0.02826414868214089,Country,Linear
31,0.027844642802803632,Country,Linear
32,0.028000888167466487,Country,Linear
33,0.027001790232371592,Country,Linear
34,0.029624231960247327,Country,Linear
35,0.026163893464531407,Country,Linear
36,0.029101592336236992,Country,Linear
37,0.028369952220249073,Country,Linear
38,0.026541345290903795,Country,Linear
39,0.027082346885689557,Country,Linear
40,0.02919329910504842,Country,Linear
41,0.030056047659646867,Country,Linear
42,0.028685009597262723,Country,Linear
43,0.028383080249140047,Country,Linear
44,0.021919893871539697,Country,Linear
45,0.028230640734801415,Country,Linear
46,0.028683226302212206,Country,Linear
47,0.027540164995915717,Country,Linear
48,0.0247727655764719,Country,Linear
49,0.02936973086141348,Country,Linear
0,0.204232595009618,Country,RF
1,0.17460648728035644,Country,RF
2,0.18992466802037267,Country,RF
3,0.16981651809009823,Country,RF
4,0.19631297832058936,Country,RF
5,0.1985235236392464,Country,RF
6,0.16478275768138828,Country,RF
7,0.18068169449958804,Country,RF
8,0.19687094414933848,Country,RF
9,0.20167578273237496,Country,RF
10,0.1750736171430698,Country,RF
11,0.2065556127472059,Country,RF
12,0.194413514540282,Country,RF
13,0.1749773409148888,Country,RF
14,0.18140381340349732,Country,RF
15,0.17038974087637138,Country,RF
16,0.18947920374745797,Country,RF
17,0.21371000838221443,Country,RF
18,0.17407133750372927,Country,RF
19,0.1862689579585567,Country,RF
20,0.18476309441250593,Country,RF
21,0.17658904903349415,Country,RF
22,0.19167859885228278,Country,RF
23,0.18207112894951505,Country,RF
24,0.2094196176633758,Country,RF
25,0.1954723563000078,Country,RF
26,0.18115573428301313,Country,RF
27,0.20004157980410164,Country,RF
28,0.19321479291015398,Country,RF
29,0.17444227260994516,Country,RF
30,0.21832594187092258,Country,RF
31,0.16555948222709804,Country,RF
32,0.20439055196350375,Country,RF
33,0.14325130301533484,Country,RF
34,0.20472244476828938,Country,RF
35,0.18632938621004524,Country,RF
36,0.20459076077812588,Country,RF
37,0.18014396053763337,Country,RF
38,0.16489147798293136,Country,RF
39,0.20651373510497817,Country,RF
40,0.182382034876995,Country,RF
41,0.18596454462460565,Country,RF
42,0.21562748739942583,Country,RF
43,0.1786079630995293,Country,RF
44,0.17480084779537974,Country,RF
45,0.1798224591707439,Country,RF
46,0.16358647946733706,Country,RF
47,0.2082560244117777,Country,RF
48,0.172858196806294,Country,RF
49,0.2166869302158586,Country,RF
0,0.005895860082751114,Region,Linear
1,0.006542461213169037,Region,Linear
2,0.006783431916879246,Region,Linear
3,0.007163375950260731,Region,Linear
4,0.005620920063965751,Region,Linear
5,0.007796077999809858,Region,Linear
6,0.0077371016095668654,Region,Linear
7,0.006114818502063524,Region,Linear
8,0.006355049806588631,Region,Linear
9,0.006640199320691487,Region,Linear
10,0.00667330494880225,Region,Linear
11,0.007268254068875879,Region,Linear
12,0.004442000077599317,Region,Linear
13,0.007959766226129483,Region,Linear
14,0.0074990484015099446,Region,Linear
15,0.006788709441567842,Region,Linear
16,0.0065186836666146775,Region,Linear
17,0.00688934840641009,Region,Linear
18,0.007035406429676594,Region,Linear
19,0.007873304553574156,Region,Linear
20,0.007928622089067527,Region,Linear
21,0.007436115729522963,Region,Linear
22,0.007984172566085412,Region,Linear
23,0.005940859275465504,Region,Linear
24,0.007134143197343401,Region,Linear
25,0.007635161881604846,Region,Linear
26,0.00742351375526451,Region,Linear
27,0.007130451902921053,Region,Linear
28,0.007614396564630033,Region,Linear
29,0.0074707418682755655,Region,Linear
30,0.007404169743069344,Region,Linear
31,0.007204714446936045,Region,Linear
32,0.0066434368415775324,Region,Linear
33,0.006753719885162268,Region,Linear
34,0.00776591480769373,Region,Linear
35,0.0064440515028523215,Region,Linear
36,0.007203357737054272,Region,Linear
37,0.006666233101551122,Region,Linear
38,0.007809978848535626,Region,Linear
39,0.007853936764965819,Region,Linear
40,0.00750820616390746,Region,Linear
41,0.005627499135715919,Region,Linear
42,0.006410098689253019,Region,Linear
43,0.007642753571383998,Region,Linear
44,0.0073469612869154766,Region,Linear
45,0.007154955615227387,Region,Linear
46,0.00747400385004815,Region,Linear
47,0.006379915530389857,Region,Linear
48,0.006816288065465526,Region,Linear
49,0.005395290536889585,Region,Linear
0,0.03895442952665762,Region,RF
1,0.020612355315091202,Region,RF
2,0.04381885904116822,Region,RF
3,0.031477026258300844,Region,RF
4,0.03776001156876585,Region,RF
5,0.03876458441006525,Region,RF
6,0.026366828607863546,Region,RF
7,0.029743942541773705,Region,RF
8,0.03781338180666849,Region,RF
9,0.04589165986381616,Region,RF
10,0.03908361192664389,Region,RF
11,0.027868532751610053,Region,RF
12,0.04423808766306847,Region,RF
13,0.02044404852826509,Region,RF
14,0.048569794552003165,Region,RF
15,0.0454949431105891,Region,RF
16,0.03560372041834481,Region,RF
17,0.03747120896069489,Region,RF
18,0.01771747788683331,Region,RF
19,0.03898726464494229,Region,RF
20,0.03761689029528903,Region,RF
21,0.038384083889062226,Region,RF
22,0.046872443876245784,Region,RF
23,0.02916091510776131,Region,RF
24,0.026480726369224827,Region,RF
25,0.03322445316424205,Region,RF
26,0.01934942708168963,Region,RF
27,0.03429536923021448,Region,RF
28,0.041177350328068796,Region,RF
29,0.04971308805117092,Region,RF
30,0.03863712922014628,Region,RF
31,0.0270674372381714,Region,RF
32,0.031984069236783874,Region,RF
33,0.04352209052166067,Region,RF
34,0.03655468762805547,Region,RF
35,0.03321859735799049,Region,RF
36,0.04786962491251823,Region,RF
37,0.036134613329970366,Region,RF
38,0.027701904205913896,Region,RF
39,0.03562151984440387,Region,RF
40,0.04486153718998309,Region,RF
41,0.027527361597513678,Region,RF
42,0.031116061605256262,Region,RF
43,0.03907289973489925,Region,RF
44,0.03330954054005186,Region,RF
45,0.03254149731459066,Region,RF
46,0.032368117271600716,Region,RF
47,0.04537739972380095,Region,RF
48,0.037666396148661074,Region,RF
49,0.02729462019954987,Region,RF
