,R2,Model
0,-0.00342633003879822,LR
1,0.0037075036963806207,LR
2,0.0006633020571058523,LR
3,-0.003189946337788019,LR
4,0.0016223514123654414,LR
5,-0.0018729707234810267,LR
6,0.0019997679827287174,LR
7,-0.004628702940525864,LR
8,-0.0015913732014127824,LR
9,0.0019352849848630616,LR
10,0.0026854095361485975,LR
11,-0.0038426389252794735,LR
12,-0.0001988418403851,LR
13,-0.00561422575174797,LR
14,-0.003814087396683874,LR
15,0.0030340957127912294,LR
16,-8.913267639143463e-05,LR
17,0.001605811117075362,LR
18,-0.00019288985742438314,LR
19,-0.0018851120731462334,LR
20,-0.00229542773003244,LR
21,-0.007025197242000125,LR
22,0.0004303378434893368,LR
23,0.0016565362127332062,LR
24,0.002176231693658992,LR
25,0.0006242039389929843,LR
26,0.0010136491627288358,LR
27,9.166803764770748e-05,LR
28,0.0006314262014017746,LR
29,-3.4882502288891004e-05,LR
30,0.0029250286208287735,LR
31,0.002002672703960262,LR
32,-0.0020612129576016436,LR
33,-0.0015741362737493603,LR
34,-0.0025777789677023932,LR
35,-0.006036337636778688,LR
36,0.002610050425246535,LR
37,0.004868456243934505,LR
38,-0.005901307354517771,LR
39,0.0008015677299595403,LR
40,-0.00037687102185612886,LR
41,0.002084784668409889,LR
42,-0.0002819343266164953,LR
43,-0.0015029408803532984,LR
44,0.003168925614277618,LR
45,0.0007435075107825595,LR
46,0.004885381945931244,LR
47,0.0008207134200177713,LR
48,-0.0006195639557613486,LR
49,-0.002876658621527861,LR
0,-0.00014202645183902796,Lasso
1,-0.001230962564704452,Lasso
2,-0.0027415699829034246,Lasso
3,-3.3675610897176966e-05,Lasso
4,-0.0012862605740309174,Lasso
5,-0.002360647077582101,Lasso
6,-0.0020483784067701905,Lasso
7,-0.0034926015361091967,Lasso
8,-0.0010071520871812734,Lasso
9,-3.115037368051077e-07,Lasso
10,-5.131876298070104e-05,Lasso
11,-3.356368076423699e-05,Lasso
12,-5.719839182560804e-05,Lasso
13,-0.00017081864970869276,Lasso
14,-1.601232245285189e-05,Lasso
15,-8.59450080634705e-05,Lasso
16,-0.00012576298590483148,Lasso
17,-0.0036040611306824566,Lasso
18,-0.0021204494044277933,Lasso
19,-0.00024094758707993158,Lasso
20,-9.616647804211453e-05,Lasso
21,-8.434705575810497e-05,Lasso
22,-0.001344957189794771,Lasso
23,-0.0007348152342090408,Lasso
24,-8.952137620643619e-05,Lasso
25,-0.0015460721314259906,Lasso
26,-0.001399959117864391,Lasso
27,-0.00010803032928063949,Lasso
28,-4.184676816398891e-06,Lasso
29,-4.0833833422571075e-05,Lasso
30,-0.0011134103441277077,Lasso
31,-0.00031256481308528095,Lasso
32,-0.001391807684164359,Lasso
33,-3.4003406996552243e-05,Lasso
34,-0.0003597823911298814,Lasso
35,-0.00029490423630806895,Lasso
36,-0.00027557240930908833,Lasso
37,-0.0005313355153044874,Lasso
38,-0.003096848169409361,Lasso
39,-0.004304728138277536,Lasso
40,-1.7832422338992515e-05,Lasso
41,-4.51384569943869e-07,Lasso
42,-0.0007816743859523356,Lasso
43,-3.210886806348512e-05,Lasso
44,-0.0008340000934692338,Lasso
45,-7.267166402868952e-06,Lasso
46,-0.00017210450726423687,Lasso
47,-2.7214340353243216e-05,Lasso
48,-2.45522332833481e-05,Lasso
49,-7.044051564264464e-08,Lasso
0,0.002289595266334765,Ridge
1,-0.0005558891664307897,Ridge
2,-0.005612343783788054,Ridge
3,-0.0019709281017479263,Ridge
4,1.2230162272142131e-05,Ridge
5,-0.0011582093756798972,Ridge
6,-0.0005649378004004557,Ridge
7,0.003342890305958246,Ridge
8,-0.0020765125078292535,Ridge
9,0.0026287219622377345,Ridge
10,0.0037834019470482927,Ridge
11,-0.0004636898753218599,Ridge
12,-0.004386084176642546,Ridge
13,-0.0002596587111187709,Ridge
14,0.002029950681556203,Ridge
15,0.0009293363194177173,Ridge
16,0.0008179936468660776,Ridge
17,0.0014339024161055258,Ridge
18,0.0006262672766217392,Ridge
19,0.002175005264813956,Ridge
20,0.0013618789069979043,Ridge
21,0.002282912188601993,Ridge
22,-0.0025447878783058098,Ridge
23,0.0027576356282192904,Ridge
24,-0.0011452124169404332,Ridge
25,0.0012764577346017214,Ridge
26,-0.002207485632115924,Ridge
27,4.509378031980482e-06,Ridge
28,0.0013104917105865033,Ridge
29,0.0041307102086319825,Ridge
30,0.0032501038693022455,Ridge
31,-0.002157022706590128,Ridge
32,0.00039047795217528325,Ridge
33,-0.0003475813326319077,Ridge
34,0.00027918127672477144,Ridge
35,0.0021727210970803323,Ridge
36,0.00219285005846781,Ridge
37,-0.005394138227686307,Ridge
38,0.0021181578254240163,Ridge
39,9.834381741102849e-05,Ridge
40,0.0036757348261250433,Ridge
41,-0.0019992985213979075,Ridge
42,3.9583490351491335e-05,Ridge
43,0.0012443645810523707,Ridge
44,-0.0014131896933871069,Ridge
45,-0.001310418914285183,Ridge
46,0.0012988730278885585,Ridge
47,-0.00374652767813477,Ridge
48,0.0037911318741817857,Ridge
49,-0.0010871853164720058,Ridge
0,-0.00022133994132023105,BR
1,0.001773126541635639,BR
2,2.015172833269574e-06,BR
3,0.001379987097801072,BR
4,-0.0016366687507582967,BR
5,-0.0036588952719240897,BR
6,0.0021684069534209094,BR
7,-0.0011240888785453151,BR
8,-0.0009983874450192332,BR
9,0.0019695670372821272,BR
10,0.0003385668039191936,BR
11,-0.0007768749177525791,BR
12,-0.0006831954780370797,BR
13,-0.00037310806778267924,BR
14,-0.0006446636723118626,BR
15,0.0006728975240257729,BR
16,4.953999222123695e-05,BR
17,0.0022852977721073975,BR
18,-0.0011742370295517723,BR
19,0.000593067068700992,BR
20,0.0008414520377060253,BR
21,-4.995159624643364e-05,BR
22,-0.00337154373691817,BR
23,-0.0009805030665590575,BR
24,0.0004495245193326669,BR
25,7.804199068184303e-05,BR
26,-0.0020304620769200366,BR
27,0.0017086514816726517,BR
28,0.0010597676945938161,BR
29,0.0011884227684654247,BR
30,0.00082767723636612,BR
31,-0.0004966834856525715,BR
32,-0.0003495654320495589,BR
33,0.0016908298523152787,BR
34,-0.0009022077410150153,BR
35,0.0001993742110608654,BR
36,-0.0023106223486819566,BR
37,-0.013939490030675294,BR
38,-0.002335549955181815,BR
39,0.0017209539443079347,BR
40,-0.000560066075110166,BR
41,0.0012814890723167327,BR
42,0.00046678402603905766,BR
43,0.00019784960795798945,BR
44,-0.00042558280082660715,BR
45,-2.8703655500228464e-05,BR
46,0.0005136448460500986,BR
47,-0.00026877013237114333,BR
48,0.0015129552090829002,BR
49,0.001553445819544197,BR
0,-0.003107863794788557,EN
1,-0.004365685455255175,EN
2,-0.003907461426899905,EN
3,-0.002022615157692309,EN
4,-0.00026039903943697595,EN
5,-2.9824077646400937e-05,EN
6,-0.0029878963578566786,EN
7,-0.0013373925758093375,EN
8,-0.00010466329889236015,EN
9,-0.000163939988941042,EN
10,-7.404508522967923e-05,EN
11,-0.00016966618972613645,EN
12,-0.00034213333090260534,EN
13,-0.0027936585630650157,EN
14,-0.0001318110197299216,EN
15,-0.0003142259662094471,EN
16,-0.0024624152641348207,EN
17,-0.00032013117426177295,EN
18,-0.0016026649082938604,EN
19,-8.722930534998952e-05,EN
20,-0.0008060940257577087,EN
21,-0.00011804622091693417,EN
22,-0.0022589360671374514,EN
23,-0.00039600071206713494,EN
24,-8.96026611203471e-05,EN
25,-0.0002603161844829671,EN
26,-3.181328829260366e-06,EN
27,-0.0005536631415867799,EN
28,-0.00016907629962581439,EN
29,-5.914826467079415e-05,EN
30,-3.0601338111724274e-05,EN
31,-0.00012758456597361523,EN
32,-0.0008835225986414397,EN
33,-0.00178453037586368,EN
34,-1.90783626150548e-05,EN
35,-0.0018280971536037693,EN
36,-0.0009664031208331814,EN
37,-1.1280663678503444e-05,EN
38,-2.6174780904719697e-05,EN
39,-1.5189212708266453e-05,EN
40,-1.6666926357045142e-05,EN
41,-0.0009265544347372145,EN
42,-1.0831375135245125e-05,EN
43,-0.0003139524835660268,EN
44,-0.0016756996107765154,EN
45,-6.909204527261181e-05,EN
46,-5.426948434417156e-05,EN
47,-0.0015925759907098325,EN
48,-0.0007148579272000521,EN
49,-0.004587668485346086,EN
0,-0.19488411259183103,kNN
1,-0.16762141886157544,kNN
2,-0.2932577882453413,kNN
3,-0.35919867237795655,kNN
4,-0.35285355565921495,kNN
5,-0.0874346948558451,kNN
6,-0.08591974286549586,kNN
7,-0.22616251904988327,kNN
8,-0.1752876678626627,kNN
9,-0.266830838711962,kNN
10,-0.14215129766460666,kNN
11,-0.26764652733747085,kNN
12,-0.30824368235211885,kNN
13,-0.22817564886069586,kNN
14,-0.16074080952061354,kNN
15,-0.20362046057448357,kNN
16,-0.23102261311369876,kNN
17,-0.10724505706757359,kNN
18,-0.5462949628532141,kNN
19,-0.5100530061510948,kNN
20,-0.22771310939543365,kNN
21,-0.05741632568731747,kNN
22,-0.2765408466562562,kNN
23,-0.26125280016501606,kNN
24,-0.43033489460470986,kNN
25,-0.07997262153257534,kNN
26,-0.5016033570542675,kNN
27,-0.25403895054335734,kNN
28,-0.370108938112248,kNN
29,-0.2887892566453716,kNN
30,-0.1960466833717347,kNN
31,-0.23456474391989768,kNN
32,-0.18637283507048852,kNN
33,-0.5767955182044848,kNN
34,-0.36298775454420285,kNN
35,-0.3024979307975264,kNN
36,-0.26930706145695393,kNN
37,-0.09203840602584656,kNN
38,-0.32935661467799493,kNN
39,-0.2807456785395259,kNN
40,-0.32789749714420724,kNN
41,-0.3058792763109912,kNN
42,-0.35396445925564546,kNN
43,-0.2965445383336722,kNN
44,-0.36265123444764713,kNN
45,-0.1708809259590951,kNN
46,-0.24732896881739297,kNN
47,-0.1716003290703556,kNN
48,-0.512937676264724,kNN
49,-0.11023468657727231,kNN
0,-0.0013771524769898846,LSVM
1,-0.00042498146121094926,LSVM
2,-0.012275610929752157,LSVM
3,-0.01011584576338076,LSVM
4,-0.0074617580294200625,LSVM
5,-0.004738715389964954,LSVM
6,-0.004544214479105246,LSVM
7,0.0014185474319566849,LSVM
8,-0.012832780827674029,LSVM
9,-0.00999387075120306,LSVM
10,-0.009957525642789289,LSVM
11,-0.009229164145639013,LSVM
12,-0.004322293739536631,LSVM
13,-0.0011522496234990243,LSVM
14,-0.004853487735244411,LSVM
15,-0.008605403733392025,LSVM
16,-0.008060135397599533,LSVM
17,-0.0072128562553464,LSVM
18,-0.0077020386917936445,LSVM
19,-0.0014706730863056627,LSVM
20,-0.010222267076836156,LSVM
21,-0.009602588519570299,LSVM
22,-0.0033479224798427243,LSVM
23,-0.002170879764295197,LSVM
24,-0.002447239747365604,LSVM
25,-0.01471593680362937,LSVM
26,-0.0018391980836915955,LSVM
27,-0.012965487691555033,LSVM
28,-0.0028108196775218364,LSVM
29,0.0008092735086495662,LSVM
30,-0.008781573055841374,LSVM
31,-0.007344572972839636,LSVM
32,-0.008845489973746679,LSVM
33,-0.004295116066352023,LSVM
34,-0.002559408886446235,LSVM
35,-0.011596344978353601,LSVM
36,-0.012642078641494914,LSVM
37,-0.0020944063915750988,LSVM
38,-0.006128812099235326,LSVM
39,-0.014239403734691347,LSVM
40,-0.0061994704227978925,LSVM
41,-0.0070543920923575865,LSVM
42,-0.0044315505829004564,LSVM
43,-0.005492500175343418,LSVM
44,-0.010190795642501582,LSVM
45,-0.005391704958246146,LSVM
46,-0.004911423803130921,LSVM
47,-0.0038373072925979024,LSVM
48,-0.002210814455836374,LSVM
49,-0.011208237442239533,LSVM
0,-0.017096768590347144,SVM
1,-0.0062574189841109185,SVM
2,-0.001663500865465517,SVM
3,-0.0019190122457692915,SVM
4,-0.001989112537330806,SVM
5,-0.004174441040429855,SVM
6,-0.0018943585215436265,SVM
7,0.0006349909170312307,SVM
8,-0.0074708125101592415,SVM
9,-0.01187894077399032,SVM
10,-0.004586427389192682,SVM
11,-0.0059938341899195,SVM
12,0.0010437377907909218,SVM
13,-0.015089118993095507,SVM
14,-0.0020821409074986974,SVM
15,-0.013796226473287598,SVM
16,7.492130237485295e-05,SVM
17,-0.0070217515676149755,SVM
18,0.004933240291893348,SVM
19,-0.009052532135953584,SVM
20,-0.00911437707199192,SVM
21,-0.01535021028722694,SVM
22,-0.007879712950965567,SVM
23,-0.0010636749031671666,SVM
24,0.00232462486042484,SVM
25,0.002234477728697337,SVM
26,-0.009574788134044665,SVM
27,-0.002875972362339718,SVM
28,-0.010763586786375567,SVM
29,-0.010424949623961455,SVM
30,-0.010398343336426752,SVM
31,-0.0001439946404118153,SVM
32,-0.014354075593567162,SVM
33,-0.002853595222970684,SVM
34,-0.0018148823726453767,SVM
35,-0.013863789645683466,SVM
36,-0.004343123338757415,SVM
37,0.004219736961234233,SVM
38,-0.015262291069002787,SVM
39,-5.1285633897224514e-05,SVM
40,-0.00911231425027248,SVM
41,-0.00859024383007334,SVM
42,-0.009424340704043743,SVM
43,-0.0008228551632372128,SVM
44,0.0005109017824012074,SVM
45,-0.0074999855711299634,SVM
46,-0.0029579129748580346,SVM
47,-0.008902281848382598,SVM
48,-0.004119550943949779,SVM
49,-0.004327454727742985,SVM
0,0.00024965568484214273,DT
1,0.002821974966914498,DT
2,-0.0056133991096891656,DT
3,0.0037546958597124425,DT
4,-0.0021674182540827314,DT
5,-0.0014636657127380381,DT
6,-0.00223525614009934,DT
7,0.0009620140110121467,DT
8,0.0013045137879380553,DT
9,0.0017750720850314705,DT
10,0.0016635756504901344,DT
11,9.660945623479744e-05,DT
12,0.0019485709742362856,DT
13,0.001970005463409752,DT
14,0.0001996116990604646,DT
15,-0.004309298730656552,DT
16,0.004035952309131674,DT
17,0.0005443143954516616,DT
18,0.0033016205517728547,DT
19,-0.0008493517167689202,DT
20,0.0012026849903953307,DT
21,0.00019696041616090731,DT
22,-0.0009186872879674013,DT
23,0.005303224465298961,DT
24,-0.0059999819539391375,DT
25,-0.0009150429196818077,DT
26,-0.0013256576552196364,DT
27,0.0013245011312597033,DT
28,0.00029226966951856337,DT
29,0.0030998796119813266,DT
30,0.001774015558952402,DT
31,0.0025993411754691165,DT
32,-0.0006391503370470897,DT
33,-0.0012885486840448213,DT
34,-0.002092381830562484,DT
35,-0.0014996473848727376,DT
36,-0.0003352570312933345,DT
37,-5.939071620830738e-05,DT
38,0.004150473897677753,DT
39,0.0024924909065235923,DT
40,-0.0023500390435493568,DT
41,0.0038944770060591605,DT
42,0.0016940866607018101,DT
43,-0.0008568205714472032,DT
44,6.332295989364134e-05,DT
45,0.0027750340547177954,DT
46,0.0026402231003839205,DT
47,0.002578959043515905,DT
48,-0.005373921831378858,DT
49,-0.0017818346443063682,DT
0,-0.0014137784837080503,RF
1,0.001103350640779599,RF
2,-0.00901443337230523,RF
3,0.0016483852115117825,RF
4,0.0023800389699564217,RF
5,-0.001038379155823721,RF
6,-0.0021562075468222197,RF
7,0.00281669479535962,RF
8,0.0022486186980889,RF
9,0.0017414544540979016,RF
10,0.0013953862755193835,RF
11,-0.0006944424426775786,RF
12,-0.0009424620423332808,RF
13,-0.007102156133886206,RF
